ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab
104,http://fm-digital-assets.fieldmuseum.org/2191/344/V0485375F.jpg,4310870,V0485375F,1523518.0,,,,,,,1445,1945-12-14,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,103.0,84656.0,385941.0,106.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,3933239,V0456909F,1523498.0,,Peperomia,obtusifolia,,,,1419,1945-12-06,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,104.0,57203.0,56868.0,107.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,http://fm-digital-assets.fieldmuseum.org/2242/465/V0496478F.jpg,4006985,V0496478F,1976630.0,,Croton,flavens,,,,4779,1967-04-06,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,105.0,21653.0,89693.0,108.0,22475.0,Conrad V. Morton,C. V. Morton,Conrad,Vernon,Morton,Person,Botany Master,ASA Botanist ID 101527,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
107,,4007001,V0496481F,1523728.0,,Croton,,,,,1199,1945-09-14,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,106.0,89693.0,89741.0,109.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,http://fm-digital-assets.fieldmuseum.org/1890/825/V0509756F.jpg,4028919,V0509756F,1963282.0,,Euphorbia,hypericifolia,,,,4639,1947-03-25,1947-04-02,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,107.0,30730.0,89707.0,110.0,22475.0,Conrad V. Morton,C. V. Morton,Conrad,Vernon,Morton,Person,Botany Master,ASA Botanist ID 101527,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
109,http://fm-digital-assets.fieldmuseum.org/1890/939/V0509960F.jpg,4029322,V0509960F,1523537.0,,Euphorbia,hyssopifolia,,,,1397,1945-12-02,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,108.0,30732.0,89707.0,111.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,http://fm-digital-assets.fieldmuseum.org/1898/484/V0511517F.jpg,4035203,V0511517F,196577.0,,Euphorbia,thymifolia,,,,,,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,109.0,208057.0,89707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,http://fm-digital-assets.fieldmuseum.org/2059/329/V0483857F.jpg,4170918,V0483857F,1523497.0,,Piper,aduncum,,,,1437,1945-12-11,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,110.0,59788.0,100400.0,112.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,http://fm-digital-assets.fieldmuseum.org/2059/344/V0483870F.jpg,4170948,V0483870F,157300.0,,Piper,aequale,,,,,1889-12-30,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,111.0,59790.0,100400.0,113.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
113,,2159284,,,,Pecluma,,,,,6883,,,,16484,,,,,Mount Saint Andrew,Saint Vincent And The Grenadines,,,,,,,3491,112.0,56586.0,101055.0,114.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
114,http://fm-digital-assets.fieldmuseum.org/2060/494/V0495622F.jpg,3997330,V0495622F,1523524.0,,Croton,astroites,,,,1414,1945-12-06,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,113.0,685708.0,89693.0,115.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,http://fm-digital-assets.fieldmuseum.org/1925/438/V0514685F.jpg,4044651,V0514685F,1780748.0,,Pitcairnia,angustifolia,,,,4257,1967-07-24,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,114.0,688366.0,86125.0,116.0,1537.0,Jonathan D. Sauer,J. D. Sauer,Jonathan,Deininger,Sauer,Person,Botany Master; IPNI 8947-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
