ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab
11,http://fm-digital-assets.fieldmuseum.org/1847/407/C0363913F.jpg,3983461,C0363913F,1523708.0,,Lycopodium,cernuum,,,,1123,1945-06-28,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,11,44702,95794,12.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,http://fm-digital-assets.fieldmuseum.org/1998/048/C0357441F.jpg,4126777,C0357441F,1523773.0,,Megalastrum,,,,,1144,1945-07-12,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,12,47232,89249,13.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,http://fm-digital-assets.fieldmuseum.org/1989/731/C0359231F.jpg,4119169,C0359231F,1606435.0,,Blechnum,volubile,,,,9285,1959-07-27,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,13,10405,85307,14.0,34994.0,Grady L. Webster,G. L. Webster,Grady,Linder,Webster,Person,Botany Master,ASA Botanist ID 136194,,,Collector (Botany),15.0,45651.0,John Ellis,J. Ellis,John,,Ellis,Person,Botany Master,,,J. Ellis,,16.0,48236.0,Kim Miller,K. Miller,Kim,,Miller,Person,Botany Master,,,,Collector (Botany)
14,http://fm-digital-assets.fieldmuseum.org/1989/733/C0359235F.jpg,4119171,C0359235F,1782615.0,,Salpichlaena,volubilis,,,,s.n.,1974-12-16,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,14,68226,288503,17.0,71007.0,Sven Nehlin,S. Nehlin,Sven,,Nehlin,Person,Botany Master,ASA Botanist ID 117515,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
15,http://fm-digital-assets.fieldmuseum.org/1989/734/C0359236F.jpg,4119172,C0359236F,1523625.0,,Salpichlaena,volubilis,,,,1112,1945-06-22,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,15,68226,288503,18.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,http://fm-digital-assets.fieldmuseum.org/1989/615/C0359124F.jpg,4119062,C0359124F,1523740.0,,Blechnum,serrulatum,,,,1141,1945-07-11,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,16,10403,85307,19.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,http://fm-digital-assets.fieldmuseum.org/1996/428/C0384774F.jpg,4124959,C0384774F,1523754.0,,Selaginella,flabellata,,,,1128,1945-06-28,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,17,622827,104651,20.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,http://fm-digital-assets.fieldmuseum.org/2129/938/V0484073F.jpg,4184975,V0484073F,1523669.0,,Piper,dilatatum,,,,1039,1945-05-23,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,18,60056,100400,21.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,http://fm-digital-assets.fieldmuseum.org/2129/960/V0484095F.jpg,4194864,V0484095F,2108281.0,,Piper,glabrescens,,,,17652,1958-04-04,1958-06-12,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,19,60155,100400,22.0,568.0,George R. Proctor,G. R. Proctor,George,Richardson,Proctor,Person,Botany Master,ASA Botanist ID 101316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,http://fm-digital-assets.fieldmuseum.org/2126/578/V0484703F.jpg,4212470,V0484703F,1523676.0,,Plumeria,rubra,,,,1072,1945-06-05,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,20,62035,62007,23.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,3933119,V0456820F,1523645.0,,Peperomia,glabella,,,,1042,1945-05-23,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,21,57076,56868,24.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,3933163,V0456862F,1523746.0,,Peperomia,hernandiifolia,,,,1179,1945-07-15,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,22,57094,56868,25.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,3936593,V0456829F,1780747.0,,Peperomia,glabella,,,,4334,1967-08-08,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,23,57076,56868,26.0,1537.0,Jonathan D. Sauer,J. D. Sauer,Jonathan,Deininger,Sauer,Person,Botany Master; IPNI 8947-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,http://fm-digital-assets.fieldmuseum.org/2109/521/V0496398F.jpg,4003694,V0496398F,837407.0,,Croton,hircinus,,,,5506,1935-09-07,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,24,21726,89693,27.0,208296.0,David Potter,David Potter,David,,Potter,Person,Botany Master,ASA Botanist ID 148023,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
25,http://fm-digital-assets.fieldmuseum.org/2109/627/V0496479F.jpg,4006998,V0496479F,1523663.0,,Croton,,,,,1001,1945-05-18,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,25,89693,89741,28.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,http://fm-digital-assets.fieldmuseum.org/2109/628/V0496480F.jpg,4007000,V0496480F,1523749.0,,Croton,wullschlaegelianus,,,,1131,1945-07-03,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,26,686182,89693,29.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
