ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab
60,http://fm-digital-assets.fieldmuseum.org/1911/274/V0513203F.jpg,4041389,V0513203F,1669736.0,,Jatropha,gossypiifolia,,,,7583,1964-07-16,,,21089,,,,,Dominica,Dominica,,,15.5,15  30 00 N,-61.3333,61 20 00 W,21540,60.0,40343.0,89714.0,,,,83.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),84.0,105035.0,E. L. Dunn,E. L. Dunn,E.,L.,Dunn,Person,Botany Master,,,,,85.0,38120.0,Henry A. Hespenheide,H. A. Hespenheide,Henry,A.,Hespenheide,Person,Botany Master,,,Hespenheide,,86.0,104992.0,D. R. Wiseman,D. R. Wiseman,D.,R.,Wiseman,Person,Botany Master,,,,
61,http://fm-digital-assets.fieldmuseum.org/1911/386/V0513315F.jpg,4041549,V0513315F,2222373.0,,Margaritaria,nobilis,,,,3620,1982-06-29,,,592686,,,,,Pointe Ronde,Dominica,,,,,,,21089,61.0,46263.0,46262.0,,,,87.0,68075.0,Serge Barrier,S. Barrier,Serge,,Barrier,Person,Botany Master,ASA Botanist ID 134160,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,http://fm-digital-assets.fieldmuseum.org/1989/894/V0513511F.jpg,4042860,V0513511F,175755.0,,Tragia,volubilis,,,,,1904-11-,,,21089,,,,,Dominica,Dominica,,,15.5,15  30 00 N,-61.3333,61 20 00 W,21540,62.0,78947.0,45087.0,,,,88.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,http://fm-digital-assets.fieldmuseum.org/984/612/MALP_byrs_cori_1668794.jpg,395864,,1668794.0,,Byrsonima,spicata,,,,8006,1964-07-27,,1964-07-27,21089,,,,,Dominica,Dominica,,,15.5,15  30 00 N,-61.3333,61 20 00 W,21540,63.0,287450.0,12097.0,64.0,12196.0,12097.0,89.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,172061,,,,Erythroxylum,squamatum,,,,333,,,,231506,,,,,,Dominica,St. George,,,,,,633361,65.0,28740.0,89651.0,,,,90.0,104984.0,D. Imray,D. Imray,D.,,Imray,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,172181,,,,Erythroxylum,squamatum,,,,523,,,,231507,152.0,,500.0,,Brock Hill Est. St. Joseph,Dominica,St. George,,,,,,633361,66.0,28740.0,89651.0,,,,91.0,104897.0,C. A. Shillingford,C. A. Shillingford,C.,A.,Shillingford,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,158524,,1668761.0,,Erythroxylum,havanense,,,,8124,,,,231508,,,,,"Dry shrub covered slopes at Pte. Guignard at the Northern end of Soufriere Bay, ",Dominica,St. George,,,,,,633361,67.0,28589.0,89651.0,,,,92.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),93.0,105035.0,E. L. Dunn,E. L. Dunn,E.,L.,Dunn,Person,Botany Master,,,,,94.0,38120.0,Henry A. Hespenheide,H. A. Hespenheide,Henry,A.,Hespenheide,Person,Botany Master,,,Hespenheide,,95.0,104992.0,D. R. Wiseman,D. R. Wiseman,D.,R.,Wiseman,Person,Botany Master,,,,
67,,172056,,,,Erythroxylum,squamatum,,,,3009,,,,231509,,,,,Hatton Garden Estate,Dominica,St. George,,,,,,633361,68.0,28740.0,89651.0,,,,96.0,105927.0,W. H. Barbara,W. H. Barbara,W.,H.,Barbara,Person,Botany Master,,,,,97.0,105870.0,T. Hodge,T. Hodge,T.,,Hodge,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,172200,,1668763.0,,Erythroxylum,squamatum,,,,7462,,,,231514,823.0,,2700.0,,"Slopes of Miconrin along path NW of Fresh Water Lake toward Boeri Lake, along co",Dominica,,,,,,,21089,69.0,28740.0,89651.0,,,,98.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),99.0,105035.0,E. L. Dunn,E. L. Dunn,E.,L.,Dunn,Person,Botany Master,,,,,100.0,38120.0,Henry A. Hespenheide,H. A. Hespenheide,Henry,A.,Hespenheide,Person,Botany Master,,,Hespenheide,,101.0,104992.0,D. R. Wiseman,D. R. Wiseman,D.,R.,Wiseman,Person,Botany Master,,,,
69,,169866,,,,Erythroxylum,havanense,,,,2788,,,,231515,,,,,"South of the mouth of the Betali River, between Salisbury and Coulibistri",Dominica,,,,,,,21089,70.0,28589.0,89651.0,,,,102.0,105405.0,Kenton L. Chambers,K. L. Chambers,Kenton,Lee,Chambers,Person,Botany Master,ASA Botanist ID 129480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
