ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab,col_5_ColCollectorRef_key,col_5_Collector_irn,col_5_NamFullName,col_5_NamBriefName,col_5_NamFirst,col_5_NamMiddle,col_5_NamLast,col_5_NamPartyType,col_5_NamSource,col_5_NamExternalReferences_tab,col_5_NamOrganisationOtherNames_tab,col_5_NamOtherNames_tab,col_5_NamRoles_tab
319,http://fm-digital-assets.fieldmuseum.org/1624/918/27442.jpg,223895,,,,Mikania,cissampelina,,,,,1802,,,16395,,,,,Santo Domingo,Dominican Republic,Santo Domingo,,,,,,3132,322.0,48898.0,84772.0,,,,352.0,3125.0,Caulon,Caulon,,,Caulon,Person,Botany Pilot Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,http://fm-digital-assets.fieldmuseum.org/231/487/18497.jpg,233577,,,,Sabal,domingensis,,,,1678,1887-05-10,,,16395,,,,,Santo Domingo,Dominican Republic,Santo Domingo,,,,,,3132,323.0,67900.0,67894.0,,,,353.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,http://fm-digital-assets.fieldmuseum.org/891/441/V0093924F.jpg,2878463,V0093924F,1779946,,Wallenia,hughsonii,,,,17891,1971-02-26,,,449104,1000.0,,3281.0,,"Hoyo de Pelempito, Bahoruco Mts.",Dominican Republic,,,,,,,3128,324.0,553272.0,286878.0,,,,354.0,13058.0,Brother Alain H. Liogier,Bro. A. H. Liogier,Alain,Henri,Liogier,Person,Botany Master,ASA Botanist ID 101226,,"A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,171321,,,,Erythroxylum,rotundifolium,,,,14236,,,,231565,0.0,,0.0,,Near Oviedo,Dominican Republic,,,,,,,3128,325.0,28725.0,89651.0,,,,355.0,13058.0,Brother Alain H. Liogier,Bro. A. H. Liogier,Alain,Henri,Liogier,Person,Botany Master,ASA Botanist ID 101226,,"A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,http://fm-digital-assets.fieldmuseum.org/1208/787/33375.jpg,247450,,,,Clematis,glabra,,,,,,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,326.0,18315.0,103191.0,,,,356.0,63580.0,Pierre A. Poiteau,P. A. Poiteau,Pierre,Antoine,Poiteau,Person,Botany Master,ASA Botanist ID 127538,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,http://fm-digital-assets.fieldmuseum.org/1985/172/34819.jpg,218787,,,,Ionidium,strictum,,,,,1804,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,327.0,39337.0,284676.0,,,,357.0,63580.0,Pierre A. Poiteau,P. A. Poiteau,Pierre,Antoine,Poiteau,Person,Botany Master,ASA Botanist ID 127538,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,http://fm-digital-assets.fieldmuseum.org/1985/384/34951.jpg,230892,,,,Polygala,crucianelloides,,,,,,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,328.0,62337.0,101036.0,,,,358.0,4570.0,Nectoux,Nectoux,,,Nectoux,Person,Botany Pilot Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,236269,,,,Smilax,viscifolia,,,,163,,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,329.0,72722.0,72594.0,,,,359.0,44104.0,Jean B. A. d. Lamarck,J. B. A. P. de M. de Lamarck,Jean,Baptiste Antoine Pierre de Monnet de,Lamarck,Person,Botany Master,,,J. B. A. P. M. de Lamarck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,http://fm-digital-assets.fieldmuseum.org/1209/045/33447.jpg,216548,,,,Acacia,haematoma,,,,,1820,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,330.0,1577.0,89885.0,,,,360.0,34629.0,Giovanni B. Balbis,G. B. Balbis,Giovanni,Battista,Balbis,Person,Botany Master,ASA Botanist ID 101007,,G. Balbis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,237185,,,,Banisteria,sagittata,,,,,,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,331.0,8727.0,95832.0,,,,361.0,15409.0,Antoine de Jussieu,A. de Jussieu,Antoine,,de Jussieu,Person,Botany Master,ASA Botanist ID 130216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,245168,,,,Camptouratea,ilicifolia,,,,,,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,332.0,13911.0,283440.0,,,,362.0,15409.0,Antoine de Jussieu,A. de Jussieu,Antoine,,de Jussieu,Person,Botany Master,ASA Botanist ID 130216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,254289,,,,Guilleminea,lanuginosa,,,,,,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,333.0,34956.0,284412.0,,,,363.0,63580.0,Pierre A. Poiteau,P. A. Poiteau,Pierre,Antoine,Poiteau,Person,Botany Master,ASA Botanist ID 127538,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,278932,,,,Comocladia,cuminata,,,,4185,1913-03-,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,334.0,19745.0,19739.0,,,,364.0,47083.0,Joseph N. Rose,J. N. Rose,Joseph,Nelson,Rose,Person,Botany Master,ASA Botanist ID 100737,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,http://fm-digital-assets.fieldmuseum.org/1209/011/33438.jpg,212591,,,,Erythrina,spathacea,,,,,,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,335.0,28416.0,90172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,253331,,,,Geastrum,involutus,,,,,,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,336.0,32823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,218896,,,,Ipomoea,pedata,,,,,,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,337.0,39585.0,87721.0,,,,365.0,63580.0,Pierre A. Poiteau,P. A. Poiteau,Pierre,Antoine,Poiteau,Person,Botany Master,ASA Botanist ID 127538,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,236675,,,,Banisteria,fulgens,,,,,,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,338.0,8671.0,95832.0,,,,366.0,15409.0,Antoine de Jussieu,A. de Jussieu,Antoine,,de Jussieu,Person,Botany Master,ASA Botanist ID 130216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,http://fm-digital-assets.fieldmuseum.org/1209/042/33446.jpg,234284,,,,Schrankia,leptocarpa,,,,,,,,3128,,,,,Dominican Republic,Dominican Republic,,,19.0,19  00 00 N,-70.6667,70 40 00 W,21540,339.0,69618.0,90523.0,,,,367.0,63580.0,Pierre A. Poiteau,P. A. Poiteau,Pierre,Antoine,Poiteau,Person,Botany Master,ASA Botanist ID 127538,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
