ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab
31,,169917,,,,Erythroxylum,oxycarpum,,,,956,,,,231853,,,,,Richmond Hill.,Grenada,,,,,,,643393,31.0,28684.0,89651.0,31.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
32,,169864,,,,Erythroxylum,havanense,,,,s.n.,,,,231854,,,,,St. George's,Grenada,,,12.054037,12  03 14.53 N,-61.746152,61 44 46.15 W,643393,32.0,28589.0,89651.0,32.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
33,,169860,,176350.0,,Erythroxylum,havanense,,,,1767,,,,231855,,,,,Richmond Hill,Grenada,St. George,,,,,,638805,33.0,28589.0,89651.0,33.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
34,,157263,,175935.0,,Erythroxylum,havanense,,,,1737,,,,231857,,,,,Woburn,Grenada,,,,,,,643393,34.0,28589.0,89651.0,34.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
35,,169920,,,,Erythroxylum,oxycarpum,,,,1734,,,,231857,,,,,Woburn,Grenada,,,,,,,643393,35.0,28684.0,89651.0,35.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
36,,169922,,1969404.0,,Erythroxylum,oxycarpum,,,,s.n.,,,,231859,,,,,Terupe.,Grenada,,,,,,,643393,36.0,28684.0,89651.0,36.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
37,,169923,,,,Erythroxylum,oxycarpum,,,,s.n.,,,,231859,,,,,Terupe.,Grenada,,,,,,,643393,37.0,28684.0,89651.0,37.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
38,,169925,,,,Erythroxylum,oxycarpum,,,,s.n.,,,,231859,,,,,Terupe.,Grenada,,,,,,,643393,38.0,28684.0,89651.0,38.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
39,,157272,,,,Erythroxylum,havanense,,,,s.n.,,,,231860,,,,,Woburn:,Grenada,,,,,,,641818,39.0,28589.0,89651.0,39.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
40,http://fm-digital-assets.fieldmuseum.org/484/059/V0100094F.jpg,2379742,V0100094F,179579.0,,Bauhinia,aculeata,,,,s.n.,1905-05-17,,,437713,,,,,Tanteen,Grenada,,,,,,,643393,40.0,9046.0,89970.0,40.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
